time_s,phase,x_m,y_m,z_m,vx_cm_s,vz_cm_s,shell_clearance_cm
1.41,edge,5.244229233661182,-3.6926036849591357,0.36499643422628875,43.13134049073213,-4.477534123797285,21.499643422628875
1.42,edge,5.248539860966491,-3.6919532589031054,0.3645484512229353,43.04743471001099,-4.611243878616303,21.454845122293527
1.43,edge,5.252845196280336,-3.691305729751981,0.364120517154261,43.03666701765912,-4.192030922825759,21.412051715426102
1.44,edge,5.257154630972668,-3.6906641787670385,0.3637567028243584,43.114691761776506,-3.437518159201646,21.37567028243584
1.45,edge,5.261478539055275,-3.6900321663073106,0.3634688814425646,43.296452850246126,-2.715388178349361,21.34688814425646
1.46,edge,5.26571951778862,-3.6894307035679246,0.3632457004978979,43.36346923054647,-2.386280851528854,21.32457004978979
1.47,edge,5.270019897842988,-3.6888205797813107,0.36301596812111836,43.05201341649662,-2.4269925895394304,21.301596812111836
1.48,edge,5.274347545136757,-3.6882272730801797,0.3627592067725386,43.47440916798733,-2.81349333474546,21.27592067725386
1.49,edge,5.278743334117693,-3.687648620953675,0.362462416463814,44.27296546480711,-3.246374990989314,21.2462416463814
1.5,edge,5.283231219673042,-3.6870815064577624,0.3621254659291625,45.2565616686351,-3.6528695719639557,21.21254659291625
1.51,edge,5.287835905776403,-3.6865229050656714,0.3618169592701465,46.52514364534795,-2.7444010930520557,21.18169592701465
1.52,edge,5.292561474475377,-3.685977700478748,0.36167918145169337,47.65688484953387,-0.6139828762288214,21.167918145169338
1.53,edge,5.297382407077261,-3.685455507359051,0.3617820484802949,48.49619619655601,1.87394304641521,21.178204848029488
1.54,edge,5.3022755265311865,-3.6849621562515584,0.36212186745039987,49.14652123403735,4.0780181825585835,21.212186745039986
1.55,edge,5.307224446243304,-3.684501179800351,0.36263778823308923,49.62894997319671,5.466728078676896,21.263778823308925
1.56,edge,5.312205794752495,-3.6840757976952503,0.3632219930268942,49.85464686189282,5.653511961265269,21.32219930268942
1.57,edge,5.317193668958386,-3.6836878185529573,0.3637480564424969,49.81672202109226,4.579068461244481,21.37480564424969
1.58,edge,5.322164705707192,-3.683339715297042,0.36410585346831326,49.559543948777154,2.5338438241160848,21.410585346831326
1.59,edge,5.327074494611059,-3.68304529388073,0.3642340447612409,48.920584988849804,0.04799657004420938,21.423404476124087
1.6,edge,5.33193743085535,-3.682788360842701,0.3640920091172963,48.41152041840035,-2.644304629895843,21.409200911729627
1.61,edge,5.336755788789641,-3.6825690825152466,0.3636981219156771,48.00003229949068,-5.009008072080513,21.369812191567707
1.62,edge,5.341362955125965,-3.6823774348038323,0.3631502925581641,47.37048218632127,-6.267336899995291,21.315029255816413
1.6300000000000001,edge,5.346140424143797,-3.6822332261036994,0.36247724447635654,47.656320000666156,-7.107312557762809,21.247724447635655
1.6400000000000001,edge,5.350910339673986,-3.682140784204734,0.3618117632251918,47.65681046090424,-6.468792331114584,21.181176322519182
1.6500000000000001,edge,5.355688755798861,-3.682090031641008,0.36128174418672787,47.76807555923545,-4.72505170200331,21.12817441867279
1.6600000000000001,edge,5.3604589728158,-3.6820476948193326,0.36094669728971523,47.63541230408879,-2.774517165497112,21.094669728971525
1.67,edge,5.36522091469478,-3.681999527995413,0.3607945463750824,47.55111318440437,-0.928397640682898,21.079454637508242
1.68,edge,5.369954503310823,-3.681908387978016,0.3607968354700484,47.19833131982093,0.6863109960883591,21.079683547004844
1.69,edge,5.374657386547383,-3.681758330527278,0.36101359659080445,46.88397776508752,3.0708557219287984,21.101359659080448
1.7,edge,5.379321632433708,-3.68155990019163,0.36146878444121583,46.45753388584261,5.358955590105014,21.146878444121583
1.71,edge,5.383941429946688,-3.681330602263483,0.3621163064536776,46.004241275379734,6.9706465279950445,21.21163064536776
1.72,edge,5.388516671077887,-3.6810904021315745,0.36286678626826957,45.56295485854673,7.574995784469753,21.28667862682696
