time_s,x_m,y_m,vx_cm_s,vy_cm_s,speed_cm_s,phase,drift_m
1.54,1.760866356746666,-0.08859994913512238,145.86146252583129,0.3812547291359003,145.86196078944974,OPEN-LOOP ROTATING HEADING,0.0005971251574221625
1.55,1.775273906251678,-0.08857521651021937,142.3606132773743,0.13007146452631896,142.36067269894454,OPEN-LOOP ROTATING HEADING,0.001083907991281663
1.56,1.7895017156791553,-0.08853391260450497,142.1124921621984,0.6823244422124526,142.11413017429106,OPEN-LOOP ROTATING HEADING,0.0016831389249536421
1.57,1.8037234638397683,-0.08861328527901022,143.4287018085742,-1.9004186766402964,143.44129145277319,OPEN-LOOP ROTATING HEADING,0.0022624600407952222
1.58,1.818110988926772,-0.08861524809745157,143.88290912309563,1.210888176906754,143.88800432246592,OPEN-LOOP ROTATING HEADING,0.003029329551265114
1.59,1.8325556172848794,-0.08862077296742912,144.6389604391176,-0.8658014219916077,144.64155173742762,OPEN-LOOP ROTATING HEADING,0.003899317907583466
1.6,1.8470074460284185,-0.08830382467268155,141.22534837703478,5.141337102057066,141.318903093011,OPEN-LOOP ROTATING HEADING,0.0051951662135159005
1.61,1.8618880371944913,-0.08810828310058116,150.88657087006544,1.493527855961722,150.8939624185932,OPEN-LOOP ROTATING HEADING,0.006506997031124673
1.62,1.8765709834265367,-0.08793401101225776,142.83919757937912,2.254689849433502,142.85699139852431,OPEN-LOOP ROTATING HEADING,0.007890074905107625
1.6300000000000001,1.891478312620532,-0.08780032504631348,152.76879342929206,0.9388244971276207,152.77167812548933,OPEN-LOOP ROTATING HEADING,0.009360034775521608
1.6400000000000001,1.9062838060170346,-0.08765515196777367,144.20277894528496,1.995642723899737,144.21658727561186,OPEN-LOOP ROTATING HEADING,0.010940619127892681
1.6500000000000001,1.9211952045617984,-0.08749920151009027,152.09851483148884,1.3063413917575368,152.1041246704916,OPEN-LOOP ROTATING HEADING,0.012651034767719338
1.6600000000000001,1.9356511829770182,-0.08719878844706984,139.116795009902,4.43330824754582,139.18741637032008,OPEN-LOOP ROTATING HEADING,0.014561448100626428
1.67,1.9501861551195219,-0.08697277099197791,148.56737298069694,0.7741069598334926,148.56938970047221,OPEN-LOOP ROTATING HEADING,0.016509535100955652
1.68,1.9647695993432863,-0.08662011269613966,145.7579070690435,5.3085078152777925,145.8545430501662,OPEN-LOOP ROTATING HEADING,0.018692273973350382
1.69,1.9794941100662717,-0.08627701363641942,146.65017556556245,2.7462392409555756,146.67588698684884,OPEN-LOOP ROTATING HEADING,0.020987715901238158
1.7,1.994271527677801,-0.08578126423532485,145.87667300915996,5.616384604313264,145.98475093051653,OPEN-LOOP ROTATING HEADING,0.023546429449459172
1.71,2.0091876302790928,-0.08530083442411762,151.06520207954526,4.161328478652957,151.12250637823968,OPEN-LOOP ROTATING HEADING,0.026215555418571235
1.72,2.0235744650512313,-0.08472325985300401,140.57260880809451,6.372098342704302,140.7169569895635,OPEN-LOOP ROTATING HEADING,0.02900341534614892
