time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact,x_cm,vx_cm_s
1.449999999999999956e+00,5.000000000000000000e+00,2.159629107490863476e+01,9.766337790112979178e+01,0.000000000000000000e+00,3.704502357304266980e+01,-1.286429463273567286e+01
1.459999999999999964e+00,5.000000000000000000e+00,2.249688273990694753e+01,8.509439120460361039e+01,0.000000000000000000e+00,3.694900223859481514e+01,-7.572688630687326672e+00
1.469999999999999973e+00,5.000000000000000000e+00,2.330565147829293693e+01,7.674709311544393131e+01,0.000000000000000000e+00,3.684166723295926715e+01,-1.022762671581681637e+01
1.479999999999999982e+00,5.000000000000000000e+00,2.401514374814257380e+01,6.702542794005435667e+01,0.000000000000000000e+00,3.673830176644150924e+01,-1.034361873995136705e+01
1.489999999999999991e+00,5.000000000000000000e+00,2.462660522126505924e+01,5.723461785068034402e+01,0.000000000000000000e+00,3.663497067998192591e+01,-1.032563072792899384e+01
1.500000000000000000e+00,5.000000000000000000e+00,2.514037530328994663e+01,4.747239302399265171e+01,0.000000000000000000e+00,3.653164369214573526e+01,-1.034089226696056940e+01
1.510000000000000009e+00,5.000000000000000000e+00,2.555646962970017810e+01,3.769720382131931302e+01,0.000000000000000000e+00,3.642812508586057874e+01,-1.035757587712414995e+01
1.520000000000000018e+00,5.000000000000000000e+00,2.587468605381508979e+01,2.790322920738514512e+01,0.000000000000000000e+00,3.632450451008351422e+01,-1.036392813992581630e+01
1.530000000000000027e+00,5.000000000000000000e+00,2.609489493267760452e+01,1.809778693205785416e+01,0.000000000000000000e+00,3.622085477223773609e+01,-1.036525668246722276e+01
1.540000000000000036e+00,5.000000000000000000e+00,2.621699926999962926e+01,8.285289261805548477e+00,0.000000000000000000e+00,3.611721086011498016e+01,-1.036356153017482917e+01
1.550000000000000044e+00,5.000000000000000000e+00,2.624097431312643636e+01,-1.527701995087914266e+00,0.000000000000000000e+00,3.601358792687989308e+01,-1.036156014959472493e+01
1.560000000000000053e+00,5.000000000000000000e+00,2.616682104513654039e+01,-1.134029343382132105e+01,0.000000000000000000e+00,3.590998117434548931e+01,-1.036014544479942323e+01
1.570000000000000062e+00,5.000000000000000000e+00,2.599454799038305453e+01,-2.115183118670346119e+01,0.000000000000000000e+00,3.580638533387696043e+01,-1.035930129299020308e+01
1.580000000000000071e+00,5.000000000000000000e+00,2.572416595777033521e+01,-3.096232830500500910e+01,0.000000000000000000e+00,3.570279399145186972e+01,-1.035909814155148290e+01
1.590000000000000080e+00,5.000000000000000000e+00,2.535568364822380261e+01,-4.077209570668496497e+01,0.000000000000000000e+00,3.559920181582894116e+01,-1.035933969180253200e+01
1.600000000000000089e+00,5.000000000000000000e+00,2.488910597114674061e+01,-5.058152838678691410e+01,0.000000000000000000e+00,3.549560585167544957e+01,-1.035977875446183027e+01
1.610000000000000098e+00,5.000000000000000000e+00,2.432443430844239529e+01,-6.039093616258563202e+01,0.000000000000000000e+00,3.539200536829611821e+01,-1.036021885825486955e+01
1.620000000000000107e+00,5.000000000000000000e+00,2.366166780122737023e+01,-7.020048423160278617e+01,0.000000000000000000e+00,3.528840106207808702e+01,-1.036055470688338431e+01
1.630000000000000115e+00,5.000000000000000000e+00,2.290080473506860415e+01,-8.001021061092458808e+01,0.000000000000000000e+00,3.518479416460348830e+01,-1.036076403393980883e+01
1.640000000000000124e+00,5.000000000000000000e+00,2.204184351842411971e+01,-8.982007683737636228e+01,0.000000000000000000e+00,3.508118579238620782e+01,-1.036087611669951514e+01
1.650000000000000133e+00,5.000000000000000000e+00,2.108478313495865564e+01,-9.963001852026096117e+01,0.000000000000000000e+00,3.497757663687286822e+01,-1.036093830624863088e+01
1.660000000000000142e+00,5.000000000000000000e+00,2.002962318358969185e+01,-1.094399792064657930e+02,0.000000000000000000e+00,3.487396693570337902e+01,-1.036099238538091960e+01
1.670000000000000151e+00,5.000000000000000000e+00,1.887636369817423798e+01,-1.192499248325129599e+02,0.000000000000000000e+00,3.477035660308946063e+01,-1.036106375132610147e+01
1.679999999999999938e+00,5.000000000000000000e+00,1.762500491496297883e+01,-1.290598437149872382e+02,0.000000000000000000e+00,3.466674540324760301e+01,-1.036116089969841703e+01
1.689999999999999947e+00,5.000000000000000000e+00,1.630407657050311698e+01,-1.309311834672768953e+02,1.000000000000000000e+00,3.455708434462591327e+01,-1.187483455424554535e+01
1.699999999999999956e+00,5.000000000000000000e+00,1.529418216303440659e+01,-7.506245717692928565e+01,1.000000000000000000e+00,3.444882773802705600e+01,-1.013711924136638665e+01
1.709999999999999964e+00,5.000000000000000000e+00,1.496125167021177305e+01,-7.939162457154857577e+00,1.000000000000000000e+00,3.434478935457223514e+01,-1.064237410516008886e+01
1.719999999999999973e+00,5.000000000000000000e+00,1.513991119009441277e+01,3.080029919415977346e+01,1.000000000000000000e+00,3.423917612746947015e+01,-1.023417059436090248e+01
1.729999999999999982e+00,5.000000000000000000e+00,1.553746213110050434e+01,4.323178278602690483e+01,1.000000000000000000e+00,3.414845534190415322e+01,-8.347638823422412813e+00
1.739999999999999991e+00,5.000000000000000000e+00,1.595894823830496456e+01,3.957653401855641562e+01,1.000000000000000000e+00,3.407132833531488103e+01,-7.458492005974763472e+00
1.750000000000000000e+00,5.000000000000000000e+00,1.629545877004609622e+01,2.968812370260044275e+01,1.000000000000000000e+00,3.399678479617170979e+01,-7.449901301243919249e+00
1.760000000000000009e+00,5.000000000000000000e+00,1.653323301444241622e+01,1.986364756231648698e+01,1.000000000000000000e+00,3.392222629864274097e+01,-7.453112834033243317e+00
1.770000000000000018e+00,5.000000000000000000e+00,1.667557375224476957e+01,1.058753265535006705e+01,1.000000000000000000e+00,3.384833389794017933e+01,-7.342040987252501871e+00
1.780000000000000027e+00,5.000000000000000000e+00,1.673122109858233841e+01,2.413912800735901421e+00,1.000000000000000000e+00,3.377550113133622744e+01,-7.242414800717013712e+00
1.790000000000000036e+00,5.000000000000000000e+00,1.671796241174573083e+01,-3.300640161210765200e+00,1.000000000000000000e+00,3.370411038836122231e+01,-7.040810202658456696e+00
1.800000000000000044e+00,5.000000000000000000e+00,1.667778899563867157e+01,-3.748936757837832534e+00,1.000000000000000000e+00,3.363664623363479222e+01,-6.496683170860744205e+00
1.810000000000000053e+00,5.000000000000000000e+00,1.665339656771867993e+01,-1.622956331743181657e+00,1.000000000000000000e+00,3.357629864511605433e+01,-5.720149921800764758e+00
1.820000000000000062e+00,5.000000000000000000e+00,1.664338843788465283e+01,-8.356279152587624548e-01,1.000000000000000000e+00,3.352364583436420986e+01,-4.973722326411301964e+00
1.830000000000000071e+00,5.000000000000000000e+00,1.662809051670745575e+01,-2.355448692714549264e+00,1.000000000000000000e+00,3.347771788635647283e+01,-4.363127068272079967e+00
1.840000000000000080e+00,5.000000000000000000e+00,1.658323311349579043e+01,-6.092420038701162888e+00,1.000000000000000000e+00,3.343683887418062284e+01,-3.922407653409309969e+00
1.850000000000000089e+00,5.000000000000000000e+00,1.650631999663981730e+01,-8.472022864330449821e+00,1.000000000000000000e+00,3.340068709394510904e+01,-3.388853268924078677e+00
