time_s,forward_cm,sideways_cm,forward_speed_cm_s
1.460000000000001075e+00,1.535194092377783477e+02,-1.577707214290381410e+00,1.175972453957221546e+02
1.470000000000001084e+00,1.547290475503381515e+02,-1.580187831164275858e+00,1.228446632536389131e+02
1.480000000000001092e+00,1.559277953454947294e+02,-1.582615070851420391e+00,1.179088166622035629e+02
1.490000000000001101e+00,1.571186378458385491e+02,-1.573468005546573734e+00,1.174551407837303856e+02
1.500000000000001110e+00,1.583254627002366419e+02,-1.575511076266864041e+00,1.224890381369822592e+02
1.510000000000001119e+00,1.595436457579910154e+02,-1.581862119633474117e+00,1.218131034412763114e+02
1.520000000000001128e+00,1.607673313249723321e+02,-1.593410140438343170e+00,1.227031377020222180e+02
1.530000000000001137e+00,1.619828928777194506e+02,-1.614156337083844761e+00,1.228197755251015053e+02
1.540000000000001146e+00,1.632103389916348135e+02,-1.627641022117308767e+00,1.224363643047577739e+02
1.550000000000001155e+00,1.644357565572423141e+02,-1.640582653820381598e+00,1.223255848295108308e+02
1.560000000000001164e+00,1.656353642235029611e+02,-1.652113332104259147e+00,1.181272388787339338e+02
1.570000000000001172e+00,1.668560212264228539e+02,-1.668703282536091903e+00,1.243010798410506510e+02
1.580000000000001181e+00,1.680852298905380167e+02,-1.683778908521533113e+00,1.226042801587141611e+02
1.590000000000001190e+00,1.693082571143582697e+02,-1.695619839465630330e+00,1.221565409027335818e+02
1.600000000000001199e+00,1.705078833041787618e+02,-1.706943123079220026e+00,1.182895729334606330e+02
1.610000000000001208e+00,1.717229203567665365e+02,-1.713197850835666225e+00,1.235317488621299162e+02
1.620000000000001217e+00,1.729239964603126509e+02,-1.717367674080495510e+00,1.180840198461641961e+02
1.630000000000001226e+00,1.741328915022592696e+02,-1.714256324845260249e+00,1.223749088447826381e+02
1.640000000000001235e+00,1.753474150259001192e+02,-1.705720419081547146e+00,1.212203779761650537e+02
1.650000000000001243e+00,1.765600255847545270e+02,-1.696163194612301695e+00,1.212793527063699344e+02
1.660000000000001252e+00,1.777555429939199030e+02,-1.688611311632173484e+00,1.179534726586371534e+02
1.670000000000001261e+00,1.789690576561793307e+02,-1.685606398157741381e+00,1.232579182915608129e+02
1.680000000000001270e+00,1.801687254109044432e+02,-1.681911136200991974e+00,1.179360127822347550e+02
1.690000000000001279e+00,1.813697730897529823e+02,-1.682425888795376467e+00,1.227901222785418724e+02
