step,time_s,ball_x,ball_y,radius_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
2260,22.6,0.7927,1.256,1.4853,0.5147,0.8345,-0.0128,turn,boundary_turn_inward,1
2270,22.7,0.7288,1.2995,1.4899,0.5101,0.815,-0.0601,turn,boundary_turn_inward,1
2280,22.8,0.6618,1.3352,1.4902,0.5098,0.7727,-0.2044,curve,roam_curve_left,0
2290,22.9,0.5922,1.3646,1.4875,0.5125,0.7524,-0.1799,curve,roam_curve_left,0
2300,23.0,0.5192,1.3949,1.4884,0.5116,0.5758,-0.0562,curve,roam_curve_left,0
2310,23.1,0.4477,1.4245,1.4932,0.5068,0.6072,-0.1099,curve,roam_curve_left,0
2320,23.2,0.3784,1.4442,1.4929,0.5071,0.6119,-0.1388,curve,roam_curve_left,0
2330,23.3,0.3082,1.4641,1.4962,0.5038,0.6171,-0.0968,curve,roam_curve_left,0
2340,23.4,0.2387,1.4847,1.5037,0.4963,0.6579,-0.2573,turn,roam_pivot_turn,0
2350,23.5,0.171,1.5006,1.5103,0.4897,0.5382,-0.2816,turn,roam_pivot_turn,0
2360,23.6,0.1053,1.5113,1.515,0.485,0.533,-0.2737,turn,roam_pivot_turn,0
2370,23.7,0.041,1.5238,1.5243,0.4757,0.6058,-0.3617,turn,roam_pivot_turn,0
2380,23.8,-0.0235,1.5344,1.5346,0.4654,0.5438,-0.2038,turn,roam_pivot_turn,0
2390,23.9,-0.0864,1.5425,1.5449,0.4551,0.7556,-0.1949,stop,roam_stance_pause,0
2400,24.0,-0.1517,1.5455,1.5529,0.4471,0.8165,-0.2646,stop,roam_stance_pause,0
2410,24.1,-0.2105,1.5438,1.5581,0.4419,0.7376,-0.1913,stop,roam_stance_pause,0
2420,24.2,-0.2686,1.5404,1.5636,0.4364,0.6245,-0.1495,curve,roam_curve_right,0
2430,24.3,-0.3215,1.5412,1.5744,0.4256,0.6578,-0.2276,curve,roam_curve_right,0
2440,24.4,-0.3714,1.5429,1.587,0.413,0.564,-0.1681,curve,roam_curve_right,0
2450,24.5,-0.4195,1.5367,1.5929,0.4071,0.5569,-0.19,curve,roam_curve_right,0
2460,24.6,-0.4678,1.5249,1.595,0.405,0.6082,-0.3383,curve,roam_curve_right,0
2470,24.7,-0.5164,1.5074,1.5933,0.4067,0.5162,-0.2619,curve,roam_curve_right,0
2480,24.8,-0.5573,1.4821,1.5834,0.4166,0.4076,-0.2201,curve,roam_curve_right,0
2490,24.9,-0.6004,1.4583,1.5771,0.4229,0.302,-0.18,curve,roam_curve_right,0
2500,25.0,-0.6387,1.4322,1.5681,0.4319,0.2296,-0.1899,curve,roam_curve_right,0
2510,25.1,-0.6674,1.4041,1.5546,0.4454,0.1424,-0.1303,curve,roam_curve_right,0
2520,25.2,-0.6924,1.3741,1.5387,0.4613,0.1206,-0.0827,curve,roam_curve_right,0
2530,25.3,-0.717,1.3409,1.5205,0.4795,0.1682,0.1663,turn,boundary_turn_inward,1
2540,25.4,-0.7355,1.3102,1.5025,0.4975,0.5147,0.2418,turn,boundary_turn_inward,1
2550,25.5,-0.7817,1.2768,1.4971,0.5029,0.7413,0.3305,turn,boundary_turn_inward,1
2560,25.6,-0.8436,1.2472,1.5058,0.4942,0.9773,0.5125,turn,boundary_turn_inward,1
2570,25.7,-0.9156,1.2129,1.5197,0.4803,1.1702,0.6498,turn,boundary_turn_inward,1
2580,25.8,-1.0068,1.1815,1.5523,0.4477,1.0824,0.6137,turn,boundary_turn_inward,1
2590,25.9,-1.0966,1.1616,1.5974,0.4026,0.9817,0.652,turn,boundary_turn_inward,1
2600,26.0,-1.1804,1.1438,1.6437,0.3563,0.9381,0.6852,turn,boundary_turn_inward,1
2610,26.1,-1.2615,1.1281,1.6923,0.3077,0.8867,0.697,turn,boundary_turn_inward,1
2620,26.2,-1.3374,1.1198,1.7443,0.2557,0.9327,0.8763,stop,boundary_emergency_brake,1
2630,26.3,-1.4044,1.1098,1.79,0.21,0.959,0.9112,stop,boundary_emergency_brake,1
2640,26.4,-1.4679,1.098,1.8331,0.1669,0.9244,0.8191,stop,boundary_emergency_brake,1
2650,26.5,-1.4949,1.1007,1.8564,0.1436,0.3802,0.3559,stop,boundary_emergency_brake,1
2660,26.6,-1.4993,1.1159,1.869,0.131,0.476,0.3441,stop,boundary_emergency_brake,1
