time_s,phase,heading_x,heading_y,x_cm,y_cm,vx_cm_s,vy_cm_s
7.129999999999999893e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.667441795445757293e+02,-3.628961084509907096e+02,-1.097813484393811301e+01,-1.245779560423759591e+02
7.140000000000000568e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.666343940467568814e+02,-3.641187180379569668e+02,-1.094920648398058027e+01,-1.234177159969113120e+02
7.150000000000000355e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.665262883616048271e+02,-3.653568283671571066e+02,-1.094187920467889974e+01,-1.235143239160013735e+02
7.160000000000000142e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.664145975857419444e+02,-3.665878724347710431e+02,-1.135910781258053248e+01,-1.228000756628347574e+02
7.169999999999999929e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.663033104199764125e+02,-3.678181307361190875e+02,-1.117412347974181053e+01,-1.229544492513032168e+02
7.179999999999999716e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.661951685093625315e+02,-3.690451673476024439e+02,-1.067689131529755642e+01,-1.224995846369010764e+02
7.190000000000000391e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.660939177204099337e+02,-3.702515108378797777e+02,-1.039574673038459807e+01,-1.219684141936867547e+02
7.200000000000000178e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.659798605322055209e+02,-3.714419697096964796e+02,-1.100870730862060221e+01,-1.180993947532130903e+02
7.209999999999999964e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.658737248611266750e+02,-3.726592938269954516e+02,-1.059227930813724861e+01,-1.239140681561001571e+02
7.219999999999999751e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.657587335217691589e+02,-3.738762187905143151e+02,-1.208574102774623071e+01,-1.198871248924952226e+02
7.230000000000000426e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.656468781795999803e+02,-3.751134156051024320e+02,-1.142333268943106361e+01,-1.240893205657492189e+02
7.240000000000000213e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.655294779892211636e+02,-3.763504311046378348e+02,-1.181076726133259847e+01,-1.233170510466785146e+02
7.250000000000000000e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.654139657771867178e+02,-3.775789393413387529e+02,-1.153204684312284201e+01,-1.224596252484113137e+02
