step,time_s,fixed_x_m,fixed_y_m,fixed_core_z_m,fixed_speed_mps,fixed_path_m,fixed_rods_on_rock,fixed_rods_over_pit,fixed_action,active_x_m,active_y_m,active_core_z_m,active_speed_mps,active_path_m,active_rods_on_rock,active_rods_over_pit,active_action
1340,13.4,-3.0532,-0.3228,0.1829,1.2004,10.578,0,0,boundary_turn_inward,-2.2251,-0.1009,0.1925,0.7162,10.981,0,10,roam_curve_right
1350,13.5,-3.152,-0.3882,0.1909,1.1568,10.697,0,0,boundary_emergency_brake,-2.23,-0.018,0.1913,0.9208,11.064,0,10,roam_curve_right
1360,13.6,-3.2446,-0.4481,0.2153,1.0524,10.807,0,0,boundary_emergency_brake,-2.2205,0.0735,0.1949,0.6768,11.156,0,6,roam_curve_right
1370,13.7,-3.3207,-0.4978,0.2352,0.7408,10.898,0,0,boundary_emergency_brake,-2.1994,0.1341,0.2036,0.623,11.221,1,5,roam_curve_right
1380,13.8,-3.3732,-0.5364,0.24,0.5034,10.963,0,0,boundary_emergency_brake,-2.1714,0.1941,0.1908,0.7134,11.287,0,3,roam_curve_right
1390,13.9,-3.3991,-0.5549,0.2253,0.211,10.995,0,0,boundary_emergency_brake,-2.1269,0.2707,0.2063,1.0313,11.375,1,0,roam_curve_right
1400,14.0,-3.3982,-0.5578,0.1996,0.2244,11.006,0,0,roam_curve_right,-2.0657,0.3516,0.1856,1.0965,11.478,1,0,roam_curve_right
1410,14.1,-3.3599,-0.5524,0.2031,0.4891,11.045,0,0,roam_curve_right,-1.9735,0.4288,0.192,1.2255,11.598,1,0,roam_curve_right
1420,14.2,-3.2891,-0.5466,0.2046,0.8906,11.116,0,0,roam_curve_right,-1.8733,0.5085,0.1855,1.3294,11.726,1,0,roam_curve_right
1430,14.3,-3.1933,-0.5432,0.1882,1.077,11.212,0,0,roam_curve_right,-1.798,0.5798,0.2114,0.6547,11.832,3,0,roam_curve_right
1440,14.4,-3.0773,-0.5548,0.1876,1.1996,11.329,0,0,roam_curve_right,-1.8031,0.6453,0.2413,0.6563,11.897,2,0,roam_curve_right
1450,14.5,-2.9551,-0.5762,0.192,1.2854,11.453,0,0,roam_forward_cruise,-1.8144,0.7079,0.206,0.7007,11.961,2,0,roam_forward_cruise
1460,14.6,-2.8271,-0.6088,0.1853,1.3506,11.585,0,0,roam_forward_cruise,-1.8408,0.76,0.2255,0.4063,12.02,1,0,roam_forward_cruise
1470,14.7,-2.6953,-0.6507,0.1842,1.4091,11.723,1,0,roam_forward_cruise,-1.8562,0.798,0.2404,0.4136,12.061,1,0,roam_forward_cruise
1480,14.8,-2.5595,-0.7023,0.1861,1.4743,11.868,1,0,roam_forward_cruise,-1.8433,0.818,0.2328,0.4598,12.097,0,0,roam_forward_cruise
1490,14.9,-2.4233,-0.7603,0.1856,1.4833,12.016,0,0,roam_forward_cruise,-1.7978,0.8135,0.2125,0.477,12.143,2,0,roam_forward_cruise
1500,15.0,-2.2867,-0.8231,0.1917,1.51,12.167,1,0,roam_forward_cruise,-1.744,0.7832,0.2258,0.5454,12.205,2,0,roam_forward_cruise
1510,15.1,-2.1519,-0.8895,0.1966,1.4281,12.317,2,0,roam_forward_cruise,-1.7058,0.7665,0.2403,0.2757,12.247,2,0,roam_forward_cruise
1520,15.2,-2.0619,-0.972,0.212,1.0218,12.44,3,0,roam_forward_cruise,-1.6897,0.7786,0.2399,0.2573,12.269,3,1,roam_forward_cruise
1530,15.3,-2.0239,-1.0563,0.213,0.9593,12.533,3,0,roam_forward_cruise,-1.6814,0.8046,0.2365,0.2447,12.297,2,1,roam_forward_cruise
1540,15.4,-1.9857,-1.1448,0.1953,1.0212,12.629,3,0,roam_curve_left,-1.6737,0.8423,0.2329,0.5916,12.336,3,2,roam_curve_left
1550,15.5,-1.9567,-1.2267,0.2127,0.6225,12.717,6,0,roam_curve_left,-1.6784,0.9016,0.2108,0.3981,12.396,4,2,roam_curve_left
1560,15.6,-1.9619,-1.2843,0.2197,0.5732,12.775,4,0,roam_curve_left,-1.7177,0.8841,0.2063,0.6911,12.445,3,2,roam_curve_left
1570,15.7,-1.9924,-1.3362,0.2078,0.6502,12.836,4,0,roam_curve_left,-1.7711,0.8148,0.2026,0.899,12.533,1,1,roam_curve_left
1580,15.8,-2.0487,-1.3883,0.1939,0.9268,12.913,5,0,roam_curve_left,-1.8258,0.7383,0.1981,1.005,12.627,1,0,roam_curve_left
1590,15.9,-2.1135,-1.4702,0.1962,1.024,13.017,4,0,roam_curve_left,-1.8812,0.6371,0.1886,1.2708,12.742,2,0,roam_curve_left
1600,16.0,-2.1526,-1.5474,0.1978,0.78,13.104,5,0,roam_curve_left,-1.9369,0.5218,0.1852,1.3092,12.87,1,0,roam_curve_left
1610,16.1,-2.1464,-1.623,0.2191,0.8336,13.181,3,0,roam_curve_left,-1.9929,0.4022,0.1852,1.3372,13.002,1,0,roam_curve_left
1620,16.2,-2.1219,-1.6764,0.2335,0.2359,13.241,5,0,roam_pivot_turn,-2.049,0.2829,0.1826,1.3233,13.134,0,0,roam_pivot_turn
1630,16.3,-2.0983,-1.6677,0.2454,0.2708,13.266,5,0,roam_pivot_turn,-2.1069,0.1668,0.1855,1.2045,13.264,1,3,roam_pivot_turn
1640,16.4,-2.0632,-1.6513,0.2227,0.6093,13.306,6,0,roam_pivot_turn,-2.1403,0.0626,0.1831,1.1307,13.374,1,7,roam_pivot_turn
