time_s,x_m,y_m,z_m,vx_m_s,deck_clearance_cm
1.11,0.8118399769950864,-0.013102252512623544,0.4289899371811036,0.10712206374038591,2.8989937181103627
1.12,0.8134650200968104,-0.010948216749760875,0.4271137299800679,0.19803983401286107,2.7113729980067918
1.1300000000000001,0.815459169755267,-0.008609575059267922,0.425006383458156,0.21966520759447772,2.5006383458156005
1.1400000000000001,0.8179676486655518,-0.006416374316865758,0.42308568160042725,0.27047831772543673,2.308568160042726
1.1500000000000001,0.821021873343194,-0.004785949243301002,0.42163704834581434,0.3243223133865795,2.1637048345814343
1.16,0.8246025480040761,-0.0042485992010266,0.4206935301053003,0.3772486344854725,2.069353010530031
1.17,0.8285955926209296,-0.005004297173348413,0.4199788916196793,0.4101978676058199,1.9978891619679278
1.18,0.8328853935002714,-0.006667214409872839,0.41935317731804383,0.4412873967193606,1.9353177318043842
1.19,0.83747508876076,-0.008797559013261617,0.41870199822772747,0.4691159729976872,1.8701998227727472
1.2,0.8421993600347764,-0.011071895991031732,0.4173714683079935,0.47136135777440036,1.7371468307993494
1.21,0.846913589722052,-0.01350195893401403,0.41509515856554874,0.4673242092607243,1.5095158565548745
1.22,0.8515798930092184,-0.016143646449529408,0.41255155405834315,0.46431133623728427,1.2551554058343157
1.23,0.8562596895339438,-0.018755038851716657,0.41022968973047974,0.46828331462506817,1.0229689730479747
1.24,0.8606212458599749,-0.02064175494312887,0.4085110204609337,0.41180182017738987,0.8511020460933688
1.25,0.8651521570126767,-0.021971653276256553,0.4073474906580141,0.47861406360853126,0.7347490658014127
1.26,0.8696693686964451,-0.022185913442993505,0.4069446812956942,0.46136393119658115,0.6944681295694227
1.27,0.874257845414121,-0.021058415723917756,0.40740895183332404,0.4551330973136832,0.7408951833324046
1.28,0.878870289623646,-0.018170234629333964,0.4088924768733232,0.4612144690890678,0.8892476873323202
1.29,0.8835063482135364,-0.013417095624753298,0.4112821839480728,0.4605712276706223,1.1282183948072815
