step,time_s,ball_x,ball_y,radius_m,core_z_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
1400,14.0,-0.7173,-1.1814,1.3821,0.1898,0.6179,0.2418,-0.0784,curve,roam_curve_right,0
1410,14.1,-0.7074,-1.1769,1.3731,0.1874,0.6269,0.2313,-0.2059,curve,roam_curve_right,0
1420,14.2,-0.7119,-1.1598,1.3608,0.1835,0.6392,0.2203,-0.1695,curve,roam_curve_right,0
1430,14.3,-0.723,-1.1356,1.3462,0.1841,0.6538,0.3273,-0.2358,curve,roam_curve_right,0
1440,14.4,-0.7328,-1.1068,1.3274,0.1849,0.6726,0.2994,-0.2082,curve,roam_curve_right,0
1450,14.5,-0.7385,-1.0884,1.3153,0.1913,0.6847,0.1443,-0.1378,move,roam_forward_cruise,0
1460,14.6,-0.7359,-1.0874,1.313,0.1872,0.687,0.1974,-0.1096,move,roam_forward_cruise,0
1470,14.7,-0.7302,-1.093,1.3145,0.1877,0.6855,0.1352,-0.0929,move,roam_forward_cruise,0
1480,14.8,-0.7225,-1.1039,1.3193,0.1863,0.6807,0.2881,-0.1184,move,roam_forward_cruise,0
1490,14.9,-0.7109,-1.1158,1.3231,0.1875,0.6769,0.2699,-0.136,move,roam_forward_cruise,0
1500,15.0,-0.7011,-1.1329,1.3323,0.1885,0.6677,0.2544,-0.1039,move,roam_forward_cruise,0
1510,15.1,-0.691,-1.1517,1.3431,0.1906,0.6569,0.2649,-0.1113,move,roam_forward_cruise,0
1520,15.2,-0.6811,-1.167,1.3513,0.1928,0.6487,0.3212,-0.2357,move,roam_forward_cruise,0
1530,15.3,-0.6746,-1.1762,1.3559,0.1914,0.6441,0.2218,-0.167,move,roam_forward_cruise,0
1540,15.4,-0.6792,-1.1799,1.3615,0.1906,0.6385,0.3485,-0.172,curve,roam_curve_left,0
1550,15.5,-0.6975,-1.1732,1.3649,0.1895,0.6351,0.394,-0.1959,curve,roam_curve_left,0
1560,15.6,-0.7298,-1.1635,1.3734,0.1884,0.6266,0.3148,0.0204,turn,boundary_turn_inward,1
1570,15.7,-0.7618,-1.1518,1.3809,0.1868,0.6191,0.2947,-0.1343,curve,roam_curve_left,0
1580,15.8,-0.7938,-1.1393,1.3885,0.1881,0.6115,0.3112,-0.0999,curve,roam_curve_left,0
1590,15.9,-0.8284,-1.1276,1.3992,0.1875,0.6008,0.3619,-0.1554,curve,roam_curve_left,0
1600,16.0,-0.8631,-1.1164,1.4111,0.1885,0.5889,0.3174,-0.1098,curve,roam_curve_left,0
1610,16.1,-0.8973,-1.1048,1.4233,0.1873,0.5767,0.3765,-0.0313,curve,roam_curve_left,0
1620,16.2,-0.9209,-1.0795,1.4189,0.1887,0.5811,0.2179,-0.0689,turn,roam_pivot_turn,0
