time_s,step,sub_skill,x_m,y_m,z_m,vx_m_s,vy_m_s,speed_m_s,cross_track_error_cm,curvature_1_m,heading_err_deg,dist_to_goal_m
4.29,429,turn,5.335251558742776,-0.20850955004284294,0.18353960807706846,1.2877965354526884,-0.9771399202280583,1.6165464238391805,11.562180326914623,0.9799814229900102,38.590548141276834,2.4735525163953835
4.3,430,turn,5.347880878985358,-0.21809544787916746,0.18453477773274693,1.2448760294880705,-0.9501013091342745,1.5660168665798737,11.02126109645583,0.9799814229900102,39.47182662599203,2.4617990867332127
4.3100000000000005,431,turn,5.360564354553367,-0.22773908774297533,0.185196414704468,1.2856252825209276,-0.9747669638173768,1.6133824719534926,10.476433508434729,0.9799814229900102,40.03759557320493,2.450043324297045
4.32,432,turn,5.3731536925775165,-0.23734705683685842,0.1856521733698018,1.2417162705890217,-0.9532774188674774,1.565438320077846,9.932220702227069,0.9799814229900102,41.14999676638536,2.4384252194823803
4.33,433,turn,5.385800734475339,-0.24706658821477745,0.1858341825643888,1.285198700110144,-0.9855594181297019,1.6195873133082268,9.379064879416433,0.9799814229900102,41.92060034821114,2.426808792141621
4.34,434,turn,5.3984075151039495,-0.25679416239459624,0.18544826144760865,1.2452115654434053,-0.9680950988297894,1.577263441246349,8.823946939074814,0.9799814229900102,43.128624173815474,2.4152827208184124
4.3500000000000005,435,turn,5.411102955118252,-0.26660815432524515,0.18437439407918121,1.2839433138848242,-0.9898313359402755,1.6211960112456651,8.78278612687408,0.9286738882060798,47.118215531891416,2.403728335375985
4.36,436,turn,5.423738808872763,-0.2762838597908439,0.18299545933161318,1.2494783026193232,-0.9595863271793941,1.5754370657141796,8.04651453488843,0.9286738882060798,47.83525716671052,2.3922689911692845
4.37,437,turn,5.436438126234252,-0.28589170575392914,0.18147040407966128,1.2825975737322008,-0.9617606427642268,1.603134451664609,7.31801768693517,0.9286738882060798,48.01693930418218,2.3807897219547303
4.38,438,turn,5.449051746823588,-0.2953443115072838,0.18035442408873464,1.2487194193161968,-0.936851946117997,1.5610867231267,6.603343122162701,0.9286738882060798,48.88279474964178,2.3694275359817527
4.39,439,turn,5.461684066596119,-0.3047598651626805,0.1797839291010653,1.2720339539596806,-0.9462629566129237,1.585397099494045,5.892639783402848,0.9286738882060798,49.520857202653225,2.358092634274832
4.4,440,turn,5.474236385149014,-0.3141787452943668,0.18014318927343367,1.2425039528942405,-0.9410750879760953,1.558665581247956,5.180235270127299,0.9286738882060798,50.90942687770528,2.346888485499026
