time_s,step,contact_number,phase,x_m,y_m,z_m,vx_m_s,vy_m_s,gap_to_wall_cm
3.66,366,2,recovery,3.625565401049487,0.8359361997983045,0.18932923642477859,0.9640025823247212,1.2119875296319642,113.59361997983046
3.67,367,2,recovery,3.6352776307007684,0.8478886173671538,0.18865133523276734,0.9834881396437429,1.1834036036588167,114.78886173671539
3.68,368,2,recovery,3.6448536093104704,0.8599064680856674,0.18716005027726856,0.9408430793046807,1.2150533557133858,115.99064680856674
3.69,369,2,recovery,3.6542547620761066,0.87170686939823,0.18542940378645223,0.9411079831103013,1.161982503361087,117.17068693982301
3.7,370,2,recovery,3.6640304436700957,0.8834356392586777,0.18384761732103322,0.9995513324721104,1.181280254594673,118.34356392586778
3.71,371,2,approach,3.6743250766774023,0.8949626513897149,0.18326423113259102,1.0380686823640115,1.1386835886737563,119.4962651389715
3.72,372,2,approach,3.683998483160055,0.9052777416664145,0.1831202090538711,0.9440598828611596,0.9923065149089555,120.52777416664146
3.73,373,2,approach,3.6942687798367215,0.9163716028138585,0.1832068842858649,1.115382185255654,1.170307081792817,121.63716028138587
3.74,374,2,approach,3.7043007786383533,0.9271811354106093,0.18367988228471854,0.9398877328055776,1.027961557747426,122.71811354106094
3.75,375,2,approach,3.715380703432724,0.9375424844657094,0.18631293395466256,1.2111105645830391,1.0748424936386427,123.75424844657094
3.7600000000000002,376,2,approach,3.726293463194809,0.9476796505529214,0.18920566341465292,1.0108014792245317,0.9989069013813628,124.76796505529215
3.77,377,2,approach,3.7377150283092573,0.9577568343526086,0.19206600870194177,1.2373572547825649,1.0139550444719347,125.77568343526086
3.7800000000000002,378,2,approach,3.748924854675586,0.967305784076154,0.19520310411523148,1.0409360911941252,0.9442119818259586,126.73057840761541
3.79,379,2,approach,3.760736283873806,0.9762200264042183,0.19854325524281294,1.2476980629230394,0.8843051776567152,127.62200264042185
3.8000000000000003,380,2,approach,3.7722138443677697,0.9850126750305432,0.2011363995539067,1.083717844328231,0.8778516110798612,128.50126750305432
3.81,381,2,approach,3.7838697198815887,0.9940225887805301,0.2027120419603021,1.214487099423045,0.919389369187723,129.402258878053
3.8200000000000003,382,2,approach,3.7954097505951445,1.0028397627141599,0.20333738634843057,1.090584364833314,0.8812076949878536,130.28397627141598
3.83,383,2,approach,3.807234362543348,1.0116691804530955,0.20287976307018754,1.2436725937199067,0.8865656354504162,131.16691804530956
3.84,384,2,approach,3.818728769250431,1.0204856890828553,0.20154361056926368,1.090014819759423,0.8806667315377913,132.04856890828555
3.85,385,2,approach,3.830476750312034,1.0293275826053963,0.19909769926915746,1.2319585767786367,0.8870210007655909,132.93275826053963
3.86,386,2,approach,3.841892682092524,1.0381068815729373,0.1960735816167643,1.085501208248538,0.8713414701913664,133.81068815729373
3.87,387,2,approach,3.853504668470181,1.046662552110463,0.19249453147973125,1.211077689494319,0.8437755391219094,134.66625521104632
3.88,388,2,approach,3.8648815541297616,1.0547046161095521,0.18923068432647727,1.0950289251184735,0.7758468538425991,135.47046161095523
3.89,389,2,approach,3.876655225433171,1.0618702605885884,0.1866817794996097,1.2313806447254672,0.6771361355969456,136.18702605885883
3.9,390,2,approach,3.8885517046755638,1.067967972450459,0.18588316471722258,1.1626781539573032,0.5730947135209369,136.7967972450459
3.91,391,2,approach,3.9008657565944116,1.0733476519249683,0.18593950843501855,1.2750446743396253,0.5180200492230529,137.33476519249683
3.92,392,2,approach,3.9131660553667174,1.0782371507799573,0.1870187028271626,1.2010641655523333,0.4749998961703161,137.82371507799573
3.93,393,2,approach,3.9255832674339826,1.0830313773899916,0.18806190883579865,1.270190217489166,0.48152917466400985,138.30313773899917
3.94,394,2,approach,3.938096670554326,1.0872087270286444,0.1897659808893084,1.2429688146656228,0.37797740609329944,138.72087270286443
3.95,395,2,approach,3.9508978939531696,1.0909381107614622,0.19153583776336697,1.2691401273901293,0.38586793284410953,139.0938110761462
3.96,396,2,approach,3.9637881964567008,1.0941704799080545,0.19341065904349056,1.305024419481594,0.2846328626755388,139.41704799080546
3.97,397,2,approach,3.976787484810976,1.097090570561638,0.19484373501730365,1.3071790162872183,0.28113052280699163,139.7090570561638
3.98,398,2,approach,3.9899642703555145,1.09955142061327,0.19596577966262427,1.3276060106083707,0.2254446977206375,139.955142061327
