time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact
1.729999999999999982e+00,3.000000000000000000e+00,1.945609039820132935e+01,8.103096148118554254e+01,1.000000000000000000e+00
1.739999999999999991e+00,3.000000000000000000e+00,2.035995493709607729e+01,9.147596267733472075e+01,0.000000000000000000e+00
1.750000000000000000e+00,3.000000000000000000e+00,2.121179469212786017e+01,8.113685711973201364e+01,0.000000000000000000e+00
1.760000000000000009e+00,3.000000000000000000e+00,2.196271916102491417e+01,7.106682888902729189e+01,0.000000000000000000e+00
1.770000000000000018e+00,3.000000000000000000e+00,2.261323077724686925e+01,6.104886847785470394e+01,0.000000000000000000e+00
1.780000000000000027e+00,3.000000000000000000e+00,2.316392030909965172e+01,5.108971426131427052e+01,0.000000000000000000e+00
1.790000000000000036e+00,3.000000000000000000e+00,2.361759915515133201e+01,4.135735144101225558e+01,0.000000000000000000e+00
1.800000000000000044e+00,3.000000000000000000e+00,2.397164641142953556e+01,3.143863852231136846e+01,0.000000000000000000e+00
1.810000000000000053e+00,3.000000000000000000e+00,2.422665304488083393e+01,2.154587208686948685e+01,0.000000000000000000e+00
1.820000000000000062e+00,3.000000000000000000e+00,2.438289062815158914e+01,1.167864118604998680e+01,0.000000000000000000e+00
1.830000000000000071e+00,3.000000000000000000e+00,2.444057656779903098e+01,1.830730944988163911e+00,0.000000000000000000e+00
1.840000000000000080e+00,3.000000000000000000e+00,2.439986738836769220e+01,-8.003970139409599227e+00,0.000000000000000000e+00
1.850000000000000089e+00,3.000000000000000000e+00,2.425857465652708456e+01,-1.800566965902720540e+01,0.000000000000000000e+00
1.860000000000000098e+00,3.000000000000000000e+00,2.401988804293041113e+01,-2.777535204766336108e+01,0.000000000000000000e+00
1.870000000000000107e+00,3.000000000000000000e+00,2.368351563478740118e+01,-3.754648360308851096e+01,0.000000000000000000e+00
1.880000000000000115e+00,3.000000000000000000e+00,2.324936787133450622e+01,-4.732844159734337808e+01,0.000000000000000000e+00
1.890000000000000124e+00,3.000000000000000000e+00,2.271733956794099285e+01,-5.712022298390149189e+01,0.000000000000000000e+00
1.900000000000000133e+00,3.000000000000000000e+00,2.208760474325197976e+01,-6.679110393388153000e+01,1.000000000000000000e+00
1.910000000000000142e+00,3.000000000000000000e+00,2.138393023054793218e+01,-7.187397877466798946e+01,1.000000000000000000e+00
1.920000000000000151e+00,3.000000000000000000e+00,2.066869403787395854e+01,-7.039020896178902831e+01,1.000000000000000000e+00
1.929999999999999938e+00,3.000000000000000000e+00,2.002313800097474683e+01,-5.931439854140895562e+01,1.000000000000000000e+00
1.939999999999999947e+00,3.000000000000000000e+00,1.954457686382190573e+01,-3.882107554095702540e+01,1.000000000000000000e+00
1.949999999999999956e+00,3.000000000000000000e+00,1.931540332729122156e+01,-1.218039234367293489e+01,1.000000000000000000e+00
1.959999999999999964e+00,3.000000000000000000e+00,1.934930476367858887e+01,1.341474904881724228e+01,1.000000000000000000e+00
1.969999999999999973e+00,3.000000000000000000e+00,1.962159927666344927e+01,3.585736183060418369e+01,1.000000000000000000e+00
1.979999999999999982e+00,3.000000000000000000e+00,2.008857233208156856e+01,5.317099837002609064e+01,1.000000000000000000e+00
1.989999999999999991e+00,3.000000000000000000e+00,2.065729085165306600e+01,5.490587865388702227e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,2.114532205397600961e+01,4.479916260943720374e+01,1.000000000000000000e+00
2.009999999999999787e+00,3.000000000000000000e+00,2.153325348532197125e+01,3.479406363534122448e+01,1.000000000000000000e+00
2.020000000000000018e+00,3.000000000000000000e+00,2.182139606752522454e+01,2.483411127934590112e+01,1.000000000000000000e+00
2.029999999999999805e+00,3.000000000000000000e+00,2.201021111951823528e+01,1.491842086981642979e+01,1.000000000000000000e+00
2.040000000000000036e+00,3.000000000000000000e+00,2.210008593268183574e+01,5.037441150784290222e+00,1.000000000000000000e+00
2.049999999999999822e+00,3.000000000000000000e+00,2.209175676804375144e+01,-4.703063216079694797e+00,1.000000000000000000e+00
2.059999999999999609e+00,3.000000000000000000e+00,2.198878336967889524e+01,-1.393664357317888935e+01,1.000000000000000000e+00
2.069999999999999840e+00,3.000000000000000000e+00,2.180036840280637733e+01,-2.180945435533639909e+01,1.000000000000000000e+00
2.079999999999999627e+00,3.000000000000000000e+00,2.154810036166841769e+01,-2.713628350766406072e+01,1.000000000000000000e+00
2.089999999999999858e+00,3.000000000000000000e+00,2.126010871721382856e+01,-2.948517496101761992e+01,1.000000000000000000e+00
2.099999999999999645e+00,3.000000000000000000e+00,2.096795704054589393e+01,-2.860005714462895554e+01,1.000000000000000000e+00
2.109999999999999876e+00,3.000000000000000000e+00,2.070370487339254950e+01,-2.458664848944453851e+01,1.000000000000000000e+00
2.119999999999999662e+00,3.000000000000000000e+00,2.049597243175055539e+01,-1.791483081943220412e+01,1.000000000000000000e+00
2.129999999999999893e+00,3.000000000000000000e+00,2.036752624383068877e+01,-9.254414805821433276e+00,1.000000000000000000e+00
2.139999999999999680e+00,3.000000000000000000e+00,2.033065300187464786e+01,3.084218315507792907e-01,1.000000000000000000e+00
2.149999999999999911e+00,3.000000000000000000e+00,2.039312373251326704e+01,1.014367391922141515e+01,1.000000000000000000e+00
2.159999999999999698e+00,3.000000000000000000e+00,2.054682897247617390e+01,1.885519807109056956e+01,1.000000000000000000e+00
2.169999999999999929e+00,3.000000000000000000e+00,2.077768323294192143e+01,2.503115000035361248e+01,1.000000000000000000e+00
2.179999999999999716e+00,3.000000000000000000e+00,2.102414577194047851e+01,2.331988497257768955e+01,1.000000000000000000e+00
2.189999999999999947e+00,3.000000000000000000e+00,2.120620406471555697e+01,1.458653396672820257e+01,1.000000000000000000e+00
2.199999999999999734e+00,3.000000000000000000e+00,2.129332699375074611e+01,4.754410472591017012e+00,1.000000000000000000e+00
2.209999999999999964e+00,3.000000000000000000e+00,2.128164503964768528e+01,-5.096996064413220395e+00,1.000000000000000000e+00
2.219999999999999751e+00,3.000000000000000000e+00,2.117508147209719738e+01,-1.417268182475200433e+01,1.000000000000000000e+00
2.229999999999999982e+00,3.000000000000000000e+00,2.098820380583753575e+01,-2.139929597463463296e+01,1.000000000000000000e+00
2.239999999999999769e+00,3.000000000000000000e+00,2.074423199310131594e+01,-2.599825257393951716e+01,1.000000000000000000e+00
2.250000000000000000e+00,3.000000000000000000e+00,2.047322195803350908e+01,-2.738339949005871787e+01,1.000000000000000000e+00
2.259999999999999787e+00,3.000000000000000000e+00,2.021536165378059025e+01,-2.417830775478313754e+01,1.000000000000000000e+00
2.270000000000000018e+00,3.000000000000000000e+00,2.001499266056191573e+01,-1.677577954030846641e+01,1.000000000000000000e+00
2.279999999999999805e+00,3.000000000000000000e+00,1.991062105798093995e+01,-5.954278557477634237e+00,1.000000000000000000e+00
2.290000000000000036e+00,3.000000000000000000e+00,1.992011589865294141e+01,5.479505761486322513e+00,1.000000000000000000e+00
