time_s,step,phase,x_m,y_m,z_m,vx_m_s,vz_m_s,vy_m_s
0.49,49,airborne,0.17147375167843015,-0.031425739849631325,0.5120970316735186,0.5238666612654905,0.292713498356191,0.058926441013756464
0.5,50,airborne,0.17684584273750809,-0.0309279788930614,0.5145461113245077,0.5384071584419217,0.20625593689633606,0.048731999147270305
0.51,51,airborne,0.18225543080308138,-0.030459713942897756,0.516037190461383,0.5423562846045344,0.11077141225586183,0.04578477664872089
0.52,52,airborne,0.18769411921355386,-0.030013081091356367,0.5165656451015511,0.5447323100048709,0.014128091752455583,0.04402491012067514
0.53,53,airborne,0.19315112584584984,-0.029579942975733357,0.5161239421510067,0.5462597033351709,-0.0830932148952524,0.04290513567188709
0.54,54,airborne,0.19862004702714234,-0.029155486339341483,0.5147078609979335,0.5472572979704377,-0.1806525518548166,0.04218078546790961
0.55,55,airborne,0.20409677772610296,-0.02873668476118087,0.5123148735040828,0.5479140771608042,-0.2784176201810307,0.0417061119999558
0.56,56,airborne,0.20957865721650476,-0.028321596367369112,0.508943408849244,0.5483462091629245,-0.3763125651348478,0.041395003961058274
0.5700000000000001,57,airborne,0.21506390414557916,-0.027908926321509472,0.5045924777285908,0.5486273118311454,-0.474288527432211,0.04119353639276596
0.58,58,airborne,0.2205513148819702,-0.027497806653572356,0.49926146843884,0.5488059399625803,-0.5723143034950179,0.04106550744506616
0.59,59,airborne,0.2260400871053708,-0.02708765847864961,0.49295000819151097,0.548917577264649,-0.670370223419992,0.04098623848140519
0.6,60,airborne,0.2315296951364312,-0.026678098938969146,0.4856578748814807,0.5489848109551979,-0.7684438058258438,0.04093928891442992
0.61,61,airborne,0.2370197922006954,-0.026268877055887273,0.4773849399789396,0.5490233836475367,-0.8665276694310455,0.04091288845861576
0.62,62,airborne,0.24251016879660653,-0.025859841769205364,0.46813113000813544,0.5490455085569923,-0.9646170332572029,0.0408984853066409
0.63,63,airborne,0.24800070224194162,-0.02545090562781793,0.45789640893234795,0.5490575560337949,-1.0627090779418276,0.04089099696998215
0.64,64,airborne,0.25349131933392893,-0.02504202287897382,0.4466807585997847,0.5490639773342254,-1.1608024129293726,0.04088673695156137
0.65,65,airborne,0.25898198161576946,-0.024633172284469766,0.43448417266325867,0.5490673851337503,-1.2588960741824125,0.040884127940033745
0.66,66,airborne,0.2644726641457548,-0.024224340237730214,0.42130664928502926,0.5490685839722909,-1.3569898529995663,0.04088272585230029
0.67,67,airborne,0.26996334887789497,-0.023815516738573655,0.407148188050522,0.5490682312893765,-1.455083632053431,0.040882196337169906
0.68,68,airborne,0.275454023640202,-0.023406694724899365,0.3920087893505719,0.5490668701986776,-1.5531773517939653,0.040882269177444974
0.6900000000000001,69,airborne,0.2809446810610241,-0.022997869529682802,0.37588845394076503,0.5490649386838912,-1.6512709889864854,0.040882724971123635
0.7000000000000001,70,airborne,0.2864353175169391,-0.022589038379133383,0.358787182662197,0.549062769825631,-1.749364543358585,0.04088339435746935
0.71,71,airborne,0.29192593212061974,-0.022180199905120983,0.34070497627428276,0.5490605991536309,-1.8474580275239256,0.040884155333093516
0.72,72,landing,0.29741652582967276,-0.021771353707419266,0.32164183537360824,0.5490585794322699,-1.9455514593630858,0.04088492688900137
0.73,73,landing,0.30288504748838796,-0.021388434162696143,0.3029675828713271,0.5496214079843899,-1.932296596145954,0.02961670643018793
0.74,74,landing,0.308485600521905,-0.021104217764991072,0.284141588202352,0.5635105729859579,-1.7847334822783805,0.032133309581777084
0.75,75,landing,0.3137192304386715,-0.020940146309484917,0.2701032460528422,0.4847541666111403,-1.077192053935497,0.009772629348826667
0.76,76,airborne,0.3174637953043469,-0.02075374440120285,0.26782550073030353,0.32111669307944596,0.18747304585147692,0.02273065080840427
0.77,77,airborne,0.3202005449912261,-0.020515103823192306,0.27363075177159984,0.2596650107930645,0.6062054435654649,0.02681362434220811
0.78,78,airborne,0.32256098147724827,-0.020199398246072725,0.2797582924167656,0.22064576111003417,0.6156829763322768,0.03370854176814985
0.79,79,airborne,0.3245570594794739,-0.019833651262792743,0.28590470562840986,0.18939579911348253,0.6104088081615673,0.039275403988506166
0.8,80,airborne,0.3262809259542298,-0.019401214833185708,0.291898076961951,0.16157811864717928,0.5920619114129999,0.044915803560715395
0.81,81,airborne,0.3279690420541111,-0.018931522859684864,0.29762136049602284,0.172365706447479,0.5537857723131667,0.04794671809035632
0.8200000000000001,82,airborne,0.3296890322363113,-0.018462032371434994,0.30263029977556855,0.17213626096142592,0.46344711830186164,0.04682508497395333
0.8300000000000001,83,airborne,0.3314123877737709,-0.017995081737537805,0.3066974380326201,0.17245823450494807,0.3686749424214569,0.046619326997614015
0.84,84,airborne,0.3331385203646123,-0.017529737295417253,0.3098087926293676,0.1727068649414116,0.2726501671677104,0.04648585701137447
0.85,85,airborne,0.3348667340516968,-0.017065407581677433,0.3119551210688367,0.1728901510349528,0.17587742733838735,0.04640286831720536
0.86,86,airborne,0.3365964697686431,-0.016601716227094387,0.3131307360208315,0.17302285196623496,0.07863342081523558,0.04635023356348508
0.87,87,landing,0.33832728918176885,-0.01613842301991917,0.3133319784291242,0.1731170408508667,-0.018912692920959893,0.04631735870508717
0.88,88,landing,0.3400730377828324,-0.015696180205905685,0.3138690825358904,0.1758587813922216,-0.01730957506677384,0.045062548813306895
0.89,89,landing,0.3418611900309217,-0.015239866311793233,0.31296162684469053,0.1821565222925815,-0.13903201178296098,0.04598657383575394
0.9,90,landing,0.34374495952674716,-0.014758642377346021,0.3109472417161363,0.19177306616650286,-0.23765733376753628,0.04958808209127506
0.91,91,landing,0.3456374789582994,-0.014237471559309307,0.308247781355521,0.19177610584864027,-0.28548760643734955,0.051774192223961936
0.92,92,landing,0.34756981860012864,-0.013721465386500056,0.3054090632403905,0.19445819337522618,-0.2719692493290371,0.051827008464607666
0.93,93,landing,0.3495629157121489,-0.01319464910472499,0.30323734267299246,0.2038145829161186,-0.1681807430247663,0.05366235557646742
0.9400000000000001,94,landing,0.35166005882786117,-0.012637182006717556,0.3025433369187122,0.2128449852866041,-0.001574983369478325,0.057198983236065905
0.9500000000000001,95,airborne,0.35382139149034136,-0.012043078076284703,0.3034468938591688,0.21826559723618563,0.1468581810347978,0.06093693354234166
0.96,96,landing,0.35595365935612006,-0.011476811793693866,0.30314803829429027,0.21389325949802965,-0.03156299616652604,0.05780972927956656
0.97,97,airborne,0.35828726269280653,-0.010779307531819878,0.3052733858025498,0.23704192313586697,0.23795671039904956,0.0690743086171519
0.98,98,airborne,0.36064931293357905,-0.010164266179474387,0.3058460671013112,0.23484133474117178,0.05279991698137253,0.0622187640283163
0.99,99,landing,0.3629849406824786,-0.009550448066298985,0.3059960211752706,0.23289629530520725,-0.008738646008561004,0.06102937195026973
1.0,100,airborne,0.3653367938347563,-0.00900272177774465,0.30764848015395657,0.23590242109108572,0.16326063459090034,0.053325256416425916
1.01,101,landing,0.36765466954614,-0.008475260607546335,0.30737895757517114,0.23217567558566965,-0.04069093833581,0.05324794063429965
1.02,102,airborne,0.37004943304088084,-0.007969847367306814,0.30853071144921784,0.24029544971776504,0.10201076105755269,0.049452130370072477
1.03,103,landing,0.37237495047114066,-0.0074936686187119,0.3076367057612808,0.23344771696244382,-0.10308576087564515,0.04827210011607559
1.04,104,airborne,0.37482907627216616,-0.007028522806372946,0.3081892019076411,0.24653925314390196,0.04474394285418044,0.045539830182361955
1.05,105,landing,0.37718170361912146,-0.006599339288763571,0.3067357754816598,0.23666911482120467,-0.15818266387664626,0.043924688307188015
1.06,106,airborne,0.37967056474798083,-0.006187456562127897,0.3068061026970226,0.25199605187421187,0.001364278479250496,0.04085639541431556
1.07,107,landing,0.3821384947111066,-0.00577843529736628,0.3049474213747442,0.24827337955707443,-0.19117642405563015,0.042121363800702936
1.08,108,airborne,0.384573547285563,-0.005550982268808524,0.3052594772266953,0.2454384087209267,0.04801469909754247,0.020267623633738248
1.09,109,landing,0.3870128358521132,-0.005315664039075831,0.3039107108686107,0.2436171564464948,-0.13906079766397683,0.023523339431126212
1.1,110,airborne,0.38943354786186846,-0.0052233956982304245,0.3048426820811239,0.24198552453882435,0.12025459698702717,0.009033541728779196
1.11,111,landing,0.39179971087224863,-0.005100244695487165,0.3041944211332626,0.23655860372398435,-0.07334120890946806,0.012636615466662605
1.12,112,airborne,0.3942100700195131,-0.005107340850521858,0.3057086191090135,0.24184677003883223,0.17182807533792277,-0.0006151638704083109
1.1300000000000001,113,landing,0.39654585906802936,-0.005086856827818735,0.30554927795262965,0.23424898346736503,-0.02825295193785514,0.0019900073925934974
1.1400000000000001,114,airborne,0.3989322805733598,-0.005250286781077214,0.3067390381052706,0.2389023716733928,0.08178318387025088,-0.014813691846225378
1.1500000000000001,115,landing,0.40125374136666797,-0.005288558856380601,0.3056813030916365,0.2330452989430777,-0.11157609262594845,-0.004755147836739831
1.16,116,airborne,0.40361548949656306,-0.005463784392768196,0.3071914114653418,0.24001867434861415,0.1841546346276666,-0.018823662482495267
1.17,117,landing,0.4059167318772493,-0.005543985591054434,0.3071787472814954,0.2312374428464548,-0.015035459542648785,-0.009802266604198601
1.18,118,airborne,0.4082159130545487,-0.005693390981061107,0.30791283087538523,0.23196188979582585,0.02198881420195131,-0.014938733934054956
1.19,119,landing,0.41054214859683597,-0.005821870321077379,0.30626330999543167,0.2328165215839148,-0.16782668859846436,-0.0141226738303234
1.2,120,airborne,0.41281440077786136,-0.006018033091544424,0.3076313805132517,0.23035842557821715,0.18160082937274014,-0.02251896153176353
1.21,121,landing,0.415182409738922,-0.006212083025338282,0.3074703102025784,0.2356521361836639,-0.030187575420706762,-0.019945424478490608
1.22,122,airborne,0.41749275507672695,-0.0064584362100486336,0.30807035535508526,0.2324759300578902,0.007700648529064644,-0.024349750526748037
1.23,123,landing,0.41984619155317116,-0.006680294908688583,0.30625384877161993,0.23433453476644778,-0.18428147253265845,-0.02326297175018257
1.24,124,airborne,0.4221548948360602,-0.007002576113578486,0.30739870060057367,0.22960981134145628,0.16855926151948294,-0.03441835571988161
1.25,125,landing,0.4244843958937745,-0.007237095925202305,0.3071508280482908,0.23205948635764648,-0.0389807877547368,-0.02524745739745517
1.26,126,airborne,0.4267835309894448,-0.007597933334940102,0.30768234609618367,0.23038517912724163,0.0007412106206009343,-0.03469518858941888
1.27,127,landing,0.42908208891596933,-0.007808790918390824,0.30577446499525196,0.22932824794124487,-0.19363659679784057,-0.022862786773329646
1.28,128,airborne,0.4312844442221361,-0.008092003279414853,0.306521215873002,0.2206934670263575,0.14462840708201122,-0.028528380588000876
1.29,129,landing,0.4335293554252344,-0.008303321864425534,0.30613405954428474,0.2234375808704326,-0.0525332001182421,-0.02248185522263678
1.3,130,airborne,0.43573494658732825,-0.008609936993874892,0.30667688132586834,0.22102608474591895,0.013817873320399549,-0.030037491483603355
1.31,131,landing,0.43795207505461203,-0.00883240656586282,0.3048746607030979,0.22096023787505165,-0.18585381813634572,-0.023885817683756992
1.32,132,airborne,0.4401446760599229,-0.009139240322764353,0.30556598236047605,0.21918981328930495,0.12880919996387774,-0.030705019389074766
1.33,133,landing,0.44231186209183115,-0.009384945909057302,0.30507761749888557,0.21662097815117293,-0.0583124005697673,-0.025600743387244454
1.34,134,airborne,0.4444495192322582,-0.009675095509178047,0.30555010809571487,0.21537108489734386,0.007922192901103202,-0.028609578125034594
1.35,135,landing,0.44662763409554807,-0.009928398312064306,0.3037107642540891,0.217061162399468,-0.18956778889228953,-0.026158386941739064
1.36,136,airborne,0.4488723023299179,-0.01023452239866428,0.30435682730249963,0.22813264564703017,0.1255689983408813,-0.03147613887096522
1.37,137,landing,0.4511444838769581,-0.01052686446869351,0.3038870118241763,0.22695404548691137,-0.05305311265226353,-0.029324119616123544
1.3800000000000001,138,airborne,0.45347317949619853,-0.010688321304407087,0.3049800351427165,0.23397075841260748,0.08202641388100933,-0.013797720947411074
1.3900000000000001,139,landing,0.4557662934896864,-0.01078285373072033,0.30386391062588575,0.22932536853830024,-0.1207818855363883,-0.010682431092331315
1.4000000000000001,140,airborne,0.4582536140566565,-0.010961578007703367,0.3050795874535777,0.2551073200275393,0.17178212483370964,-0.01974290885283925
1.41,141,landing,0.460731023766698,-0.011114586505137731,0.30492389254303714,0.2484649216483284,-0.02984117682410413,-0.016170436587044482
1.42,142,airborne,0.4633185047851414,-0.01131218945776981,0.30553983180784505,0.25767660523804004,0.00855562614016829,-0.019570601139401685
1.43,143,landing,0.46577926829056154,-0.011451053785062625,0.30373460394717156,0.24702870274751504,-0.18010432795599904,-0.014811942267520885
1.44,144,airborne,0.4683491454627558,-0.011642943247290533,0.3048479341642493,0.2596115643300154,0.17171366379865613,-0.018092471195542057
1.45,145,landing,0.47087368633492266,-0.011741163176338281,0.30468012678913015,0.25308011967920335,-0.027310431140410745,-0.01120606372966147
1.46,146,airborne,0.47342065249252235,-0.011970759029621709,0.3055000007333378,0.25462203525737226,0.04274836289778177,-0.018753476120998876
1.47,147,landing,0.47592605253288034,-0.01198263974474358,0.3040039996829109,0.25070470458852306,-0.14794558402966274,-0.0033893055695416174
1.48,148,airborne,0.47837886424763465,-0.012045331144414789,0.3055531818341416,0.2464934259148155,0.19843629910825353,-3.1108012658763104e-06
1.49,149,landing,0.4807678030668266,-0.011874086987498537,0.3056137051584471,0.2396690736616694,-0.006978957574406286,0.013779382234353278
